Original;ger;spa;fra;por-BR;ita;Occurrences
System partner line;Systempartnerzeile;Línea del socio de sistemas;Ligne du partenaire système;Linha de parceiro de sistema;Riga del partner di sistema;ADVISEDLULINE00009 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOITEMLINECANCEL00001 FWCS_FFOITEMLINEFINALIZE00001 FWCS_FFOPICKACK00001 IBDL00006 IBDL2IBOLACK00006 IBDLACK00006 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLEXTREF00006 IBDLEXTREFACK00007 IBDLTEXT00001 IBOL00007 IBOLACK00006 IBOLDIFFCODEACK00005 IBOLEXTREF00006 IBOLEXTREFACK00007 IBOLTEXT00001 INVCCACK00007 INVDL00005 INVDLACK00006 INVDLTEXT00001 OBDL00007 OBDL2OBOLACK00005 OBDLACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLEXTREF00006 OBDLEXTREFACK00006 OBDLTEXT00001 OBOL00007 OBOLEXTREF00006 OBOLTEXT00001 STOCKACK00009
System partner of item;Systempartner von Artikel;Socio de sistemas de artículo;Partenaire système de l'article;Parceiro de sistema do item;Partner di sistema di articolo;STOCKACK00009 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
System partner stock group;Systempartner-Bestandsgruppe;Grupo de existencias de socio de sistemas;Groupe de stocks partenaire système;Grupo de estoque do parceiro de sistema;Gruppo di scorta partner di sistema;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
System partner stock rating;Bestandsklassifizierung Systempartner;Clasificación de existencias de socio de sistemas;Classification de stock du partenaire système;Classificação de estoque do parceiro de sistema;Classificazione della scorta del partner di sistema;ADVISEDLULINE00009 IBDL00006 IBOL00007 INVDL00005 INVDLACK00006 OBDL00007 OBOL00007
System partner;Systempartner;Socio de sistemas;Partenaire système;Parceiro de sistema;Partner di sistema;ASOACK00001 IBDACK00012 IBDEXTREFACK00007 IBDL2IBOLACK00006 IBDLACK00006 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLEXTREFACK00007 IBDLOADAIDACK00004 IBDLUACK00007 IBDLUDETAILACK00009 IBDPARTNERACK00008 IBOACK00008 IBOEXTREFACK00006 IBOLACK00006 IBOLDIFFCODEACK00005 IBOLEXTREFACK00007 IBOPARTNERACK00008 INVCCACK00007 INVDACK00009 INVDENDACK00005 INVDLACK00006 LOAD00008 LOADACK00011 LOADTRANSPORTVEHICLE00006 OBDACK00011 OBDEXTREFACK00006 OBDL2OBOLACK00005 OBDLACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLEXTREFACK00006 OBDLOADAIDACK00004 OBDLUACK00008 OBDLUDETAILACK00009 OBDPARTNERACK00008 OBOACK00011 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002 SHIPMENTLUOBOACK00001 STOCKACK00009 STOCKADJ00008
Tank codes for ADR tanks;Tankcodierung für ADR Tanks;Códigos de cisterna para cisternas ADR;Code-citerne pour les citernes ADR;Códigos-cisternas para as cisternas ADR;Codici cisterna per le cisterne ADR;DANGGOODS00009
Target dual quantity;Solldualmenge;Cantidad dual de destino;Quantité duale théorique;Quantidade dual de destino;Quantità duale nominale;INVCCACK00007
Target goods owner;Zielwareneigentümer;Propietario de las mercancías de destino;Propriétaire de la marchandise de destination;Proprietário da mercadoria de destino;Proprietario della merce di destinazione;OBDL00007 OBOL00007
Target quantity;Sollmenge;Cantidad teórica;Quantité théorique;Quantidade nominal;Quantità nominale;INVCCACK00007
Terms of delivery;Lieferbedingungen;Condiciones de entrega;Conditions de livraison;Condições de fornecimento;Condizioni di consegna;OBD00010 OBDACK00011
Text type;Texttyp;Tipo de texto;Type de texte;Tipo de texto;Tipo di testo;IBDLTEXT00001 IBDTEXT00001 IBOLTEXT00001 IBOTEXT00001 INVDLTEXT00001 INVDTEXT00001 OBDLTEXT00001 OBDTEXT00001 OBOLTEXT00001 OBOTEXT00001
Text;Text;Texto;Texte;Texto;Testo;IBDLTEXT00001 IBDTEXT00001 IBOLTEXT00001 IBOTEXT00001 INVDLTEXT00001 INVDTEXT00001 OBDLTEXT00001 OBDTEXT00001 OBOLTEXT00001 OBOTEXT00001
Time of diversion;Time of diversion;Time of diversion;Heure du transfert;Time of diversion;Time of diversion;FWCS_FFOCONVEYORSTATIONACK0001 FWCS_FFOSTATIONLINEACK00001
Time zone;Zeitzone;Zona horaria;Fuseau horaire;Fuso horário;Fuso orario;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Time-based access mode;Zeitbezogener Zugriffsmodus;Modo de acceso a base de tiempos;Mode d'accès en fonction du temps;Modo de acesso baseado no tempo;Modo di accesso in base al tempo;ITEM00012
Title;Titel;Título;Titre;Título;Titolo;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
To Delivery time slot;To Delivery time slot;To Delivery time slot;To Delivery time slot;To Delivery time slot;To Delivery time slot;IBD00008 IBDACK00012
To Registration time;To Registration time;To Registration time;To Registration time;To Registration time;To Registration time;INVDL00005 INVDLACK00006
To Requested delivery date;To Requested delivery date;To Requested delivery date;To Requested delivery date;To Requested delivery date;To Requested delivery date;IBOL00007
Total dangerous goods points;Gefahrgutpunkte gesamt;Niveles de peligro en total;Total des points de marchandises dangereuses;Pontos totais de materiais perigosos;Punti per merci pericolose totali;CONSIGNMENTACK00012
Total gross weight unit;Total gross weight unit;Total gross weight unit;Total gross weight unit;Total gross weight unit;Total gross weight unit;CONSIGNMENTACK00012
Total gross weight;Bruttogewicht gesamt;Peso bruto total;Poids brut;Peso bruto total;Peso lordo totale;CONSIGNMENTACK00012
Total stock From;Total stock From;Total stock From;Total stock From;Total stock From;Total stock From;INVDL00005 INVDLACK00006
Total stock Quantity unit kind;Total stock Quantity unit kind;Total stock Quantity unit kind;Total stock Quantity unit kind;Total stock Quantity unit kind;Total stock Quantity unit kind;INVDL00005 INVDLACK00006
Total stock To;Total stock To;Total stock To;Total stock To;Total stock To;Total stock To;INVDL00005 INVDLACK00006
Total volume unit;Total volume unit;Total volume unit;Total volume unit;Total volume unit;Total volume unit;CONSIGNMENTACK00012
Total volume;Gesamtvolumen;Volumen total;Volume total;Volume total;Volume totale;CONSIGNMENTACK00012
Transaction ID;Transaktions-ID;ID de transacción;ID de transaction;ID de transação;ID transazione;INSPMACK00001 INSPMLINEACK00001
Transport category;Beförderungskategorie;Categoría de transporte;Catégorie de transport;Categoria de transporte;Categoria di trasporto;DANGGOODS00009 LOADLUDETAILACK00009 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
Transport vehicle ID;Transport vehicle ID;Transport vehicle ID;Transport vehicle ID;Transport vehicle ID;Transport vehicle ID;LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006
Transport vehicle type;Transportfahrzeugtyp;Tipo de vehículo de transporte;Type du véhicule de transport;Tipo de veículo de transporte;Tipo di veicolo di trasporto;LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006
Tunnel restriction code;Tunnelbeschränkungscode;Código de restricciones en túneles;Code de restriction en tunnels;Código de restrição em túneis;Codice di restrizione in galleria;DANGGOODS00009
UN number;UN Nummer;Número UN;Numéro ONU;Número ONU;Numero ONU;DANGGOODS00009 LOADLUDETAILACK00009 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
Unloading sequence;Entladungsreihenfolge;Orden de descarga;Ordre séquentiel de déchargement;Sequência de descarga;Sequenza di scarico;CONSIGNMENT00007 CONSIGNMENTACK00012
Upper tolerance Absolute value;Upper tolerance Absolute value;Upper tolerance Absolute value;Upper tolerance Absolute value;Upper tolerance Absolute value;Upper tolerance Absolute value;ITEM00012
Upper tolerance Percentage;Upper tolerance Percentage;Upper tolerance Percentage;Upper tolerance Percentage;Upper tolerance Percentage;Upper tolerance Percentage;ITEM00012
Upper tolerance [%];Oberer Toleranzwert [%];Tolerancia superior [%];Tolérance supérieure [%];Tolerância superior [%];Tolleranza superiore [%];IBDL00006 IBOL00007 ITEM00012 OBDL00007 OBDLACK00009 OBOL00007
User identifier;Benutzer-ID;Identificador de usuario;Identification d'utilisateur;Identificador de usuário;Identificazione utente;INVCCACK00007 SYSUSER00007
VAT ID;UID-Nr;Id. del IVA;ID TVA;ID VAT;Numero di partita IVA;PARTNER00008
Value 1;Wert 1;Valor 1;Valeur 1;Valor 1;Valore 1;IBDEXTREF00006 IBDEXTREFACK00007 IBDLEXTREF00006 IBDLEXTREFACK00007 IBOEXTREF00006 IBOEXTREFACK00006 IBOLEXTREF00006 IBOLEXTREFACK00007 OBDEXTREF00006 OBDEXTREFACK00006 OBDLEXTREF00006 OBDLEXTREFACK00006 OBOEXTREF00006 OBOLEXTREF00006
Value 2;Wert 2;Valor 2;Valeur 2;Valor 2;Valore 2;IBDEXTREF00006 IBDEXTREFACK00007 IBDLEXTREF00006 IBDLEXTREFACK00007 IBOEXTREF00006 IBOEXTREFACK00006 IBOLEXTREF00006 IBOLEXTREFACK00007 OBDEXTREF00006 OBDEXTREFACK00006 OBDLEXTREF00006 OBDLEXTREFACK00006 OBOEXTREF00006 OBOLEXTREF00006
Variant;Variante;Variante;Variante;Variante;Variante;ADVISEDLULINE00009 ASO00001 DANGGOODS00009 DANGGOODSDESC00006 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOPICKACK00001 FWCS_ITEM00001 FWCS_ITEMALIAS00001 FWCS_ITEMDESC00001 FWCS_PACKAGINGVERSION00001 FWCS_PICKINGLOCASSIGNMENT00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLOADAIDACK00004 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 ITEM00012 ITEMABCCLASSIFICATION00006 ITEMALIAS00006 ITEMDESC00005 ITEMQTYUNIT00008 ITEMWHLOC00005 KIT00001 KITCOMPONENT00001 KITCONSUMABLES00001 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLOADAIDACK00004 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Vehicle for tank carriage;Fahrzeug für die Beförderung in Tanks;Vehículo para el transporte en cisternas;Véhicule pour transport en citernes;Veículo para transporte em cisternas;Veicolo per trasporto in cisterne;DANGGOODS00009
Volume unit;Volume unit;Volume unit;Volume unit;Volume unit;Volume unit;ITEMQTYUNIT00008
Volume;Volumen;Volumen;Volume;Volume;Volume;ITEMQTYUNIT00008
Warehouse location;Lagerstandort;Almacén;Site de stockage;Localidade de depósito;Magazzino;ADVISEDLU00012 ASO00001 ASOACK00001 IBD00008 IBDACK00012 IBO00008 IBOACK00008 INVD00007 INVDACK00009 INVDENDACK00005 ITEMABCCLASSIFICATION00006 ITEMWHLOC00005 LOGIN00007 OBD00010 OBDACK00011 OBO00009 OBOACK00011 SHIPMENTLUACK00003 SO00001 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Warehouse quantity unit;Lagermengeneinheit;Unidad de almacenamiento;Unité de gestion de stock;Unidade de quantidade de depósito;Unità quantitativa di magazzino;ITEM00012
Warehouse quantity units requested;Lagermengeneinheiten angefordert;Unidades de almacenamiento solicitadas;Unités de gestion de stock requise;Solicitadas unidades de quantidade de depósito;Unità quantitative di magazzino richieste;OBOL00007 PARTNER00008
Website;Website;Página web;Site Internet;Web Page;Sito web;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Weight (max.);Gewicht (max.);Peso (máx.);Poids (max.);Peso (máx.);Peso (max.);ASRS_ADVISEDLU00001
Weight (min.);Gewicht (min.);Peso (mín.);Poids (min.);Peso (mín.);Peso (min.);ASRS_ADVISEDLU00001
Whole LU reservation mode;Ganz-LE-Reservierungsmodus;Modo de reserva de UT completa;Mode de réservation UC entière;Modo de reserva de UT completa;Modo di prenotazione unità di carico completa;OBDL00007
Whole loading unit;Ganz-Ladeeinheit;Unidad de transporte completa;Unité de chargement entière;Unidade de transporte completa;Unità di carico completa;ITEMQTYUNIT00008
Width unit;Width unit;Width unit;Width unit;Width unit;Width unit;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
Width;Breite;Ancho;Largeur;Largura;Larghezza;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
X unit;X unit;X unit;X unit;X unit;X unit;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
X;X;X;X;X;X;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
Y unit;Y unit;Y unit;Y unit;Y unit;Y unit;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
Y;Y;Y;Y;Y;Y;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
Z unit;Z unit;Z unit;Z unit;Z unit;Z unit;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
Z;Z;Z;Z;Z;Z;LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
ZIP code;PLZ;Código postal;Code postal;CEP;CAP;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
